Year,continent ,order,country,Code,Total,Other South,Other North
1990,Africa,1990024,Burundi,108,"3,33,110","50,676","8,943"
1990,Africa,1990025,Comoros,174,"14,079",847,672
1990,Africa,1990026,Djibouti,262,"1,22,221","5,484","1,827"
1990,Africa,1990027,Eritrea,232,"11,848",737,345
1990,Africa,1990028,Ethiopia,231,"11,55,390","22,075","7,358"
1990,Africa,1990029,Kenya,404,"2,98,089","65,948","35,411"
1990,Africa,1990030,Madagascar,450,"23,917","2,851","3,563"
1990,Africa,1990031,Malawi,454,"11,27,724","19,158","11,744"
1990,Africa,1990032,Mauritius,480,"3,613",292,75
1990,Africa,1990033,Mayotte,175,"15,229","1,354","1,142"
1990,Africa,1990034,Mozambique,508,"1,22,332","2,148","6,443"
1990,Africa,1990035,Réunion,638,"57,210","6,776","6,330"
1990,Africa,1990036,Rwanda,646,"1,60,024","19,265",954
1990,Africa,1990037,Seychelles,690,"3,721",493,281
1990,Africa,1990038,Somalia,706,"4,78,294","12,196","6,098"
1990,Africa,1990039,South Sudan,728,..,..,
1990,Africa,1990040,Uganda,800,"5,44,273","19,697",359
1990,Africa,1990041,United Republic of Tanzania,834,"5,74,025","2,845","1,577"
1990,Africa,1990042,Zambia,894,"2,79,463","6,228","2,905"
1990,Africa,1990043,Zimbabwe,716,"6,34,621","20,017","9,658"
1990,Africa,1990045,Angola,24,"33,517","2,953","2,805"
1990,Africa,1990046,Cameroon,120,"2,65,967","40,119","13,373"
1990,Africa,1990047,Central African Republic,140,"67,234","7,445","2,482"
1990,Africa,1990048,Chad,148,"74,342","4,986",245
1990,Africa,1990049,Congo,178,"1,29,391","5,934","1,978"
1990,Africa,1990050,Democratic Republic of the Congo,180,"7,54,194","60,792","30,396"
1990,Africa,1990051,Equatorial Guinea,226,"2,740",365,161
1990,Africa,1990052,Gabon,266,"1,28,188","2,721",643
1990,Africa,1990053,Sao Tome and Principe,678,"5,582",74,25
1990,Africa,1990055,Botswana,72,"27,510","1,150",531
1990,Africa,1990056,Eswatini,748,"74,991","5,693","1,478"
1990,Africa,1990057,Lesotho,426,"8,240","1,092","2,679"
1990,Africa,1990058,Namibia,516,"1,20,641","2,568",669
1990,Africa,1990059,South Africa,710,"11,63,883","86,678","19,342"
1990,Africa,1990061,Benin,204,"76,751","7,171",542
1990,Africa,1990062,Burkina Faso,854,"3,49,652","16,390","6,383"
1990,Africa,1990063,Cabo Verde,132,"8,931",787,"1,000"
1990,Africa,1990064,Côte d'Ivoire,384,"18,16,426","12,155","9,313"
1990,Africa,1990065,Gambia,270,"1,18,123","2,293","1,147"
1990,Africa,1990066,Ghana,288,"1,64,851","6,779","4,357"
1990,Africa,1990067,Guinea,324,"4,03,621",909,"2,726"
1990,Africa,1990068,Guinea-Bissau,624,"15,368",262,380
1990,Africa,1990069,Liberia,430,"94,964","14,804","5,561"
1990,Africa,1990070,Mali,466,"1,60,736","16,035","1,782"
1990,Africa,1990071,Mauritania,478,"1,11,650","1,371",52
1990,Africa,1990072,Niger,562,"1,15,464","7,620","2,539"
1990,Africa,1990073,Nigeria,566,"4,56,621","1,42,800","14,265"
1990,Africa,1990074,Saint Helena,654,178,10,9
1990,Africa,1990075,Senegal,686,"2,70,410","23,993","11,997"
1990,Africa,1990076,Sierra Leone,694,"2,22,148",386,664
1990,Africa,1990077,Togo,768,"84,844","9,000","1,793"
1990,Africa,1990080,Algeria,12,"2,73,954","11,498","3,833"
1990,Africa,1990081,Egypt,818,"1,73,833","7,163","2,346"
1990,Africa,1990082,Libya,434,"4,57,075",,
1990,Africa,1990083,Morocco,504,"54,895","7,760","3,162"
1990,Africa,1990084,Sudan,729,"14,02,896","33,284",
1990,Africa,1990085,Tunisia,788,"37,984","3,707","2,252"
1990,Africa,1990086,Western Sahara,732,"2,688",65,43
1990,Asia,1990088,Armenia,51,"6,58,789","52,293","41,834"
1990,Asia,1990089,Azerbaijan,31,"3,60,600","2,348","1,174"
1990,Asia,1990090,Bahrain,48,"1,73,212","1,979",532
1990,Asia,1990091,Cyprus,196,"43,805",93,280
